MLSNumber, Street, City, BR, Bath, Footage, Price, PriceSqFt, County, Zone, Source, Date, URL
1065001,   361 Hacienda,   Cayucos, 2, 2, 1480, 549000, 370.945945945946,   SLO, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1065001
1068311,   888 Saint Mary,   Cayucos, 2, 3, 1702, 997000, 585.7814336075205,   SLO, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068311
1068144,   1408 Michael,   Lompoc, 3, 3, 1612, 349900, 217.05955334987598,   SB, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068144
1069886,   922 Highland,   Los Osos, 4, 3, 2660, 835000, 313.90977443609023,   SLO, 1, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069886
1070912,   427 Morro Cove,   Morro Bay, 3, 3, 2875, 1029000, 357.9130434782609,   SLO, 1, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070912
1070374,   960 Vista Verde,   Nipomo, 4, 2, 2244, 559900, 249.50980392156865,   SLO, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070374
1070215,   1823 Nathan,   Nipomo, 3, 2, 2007, 715000, 356.25311410064774,   SLO, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070215
1068772,   220 12th,   Paso Robles, 3, 2, 1660, 450000, 271.0843373493976,   SLO, 4, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068772
1070685,   430 Montebello Oaks,   Paso Robles, 3, 3, 1836, 489000, 266.33986928104576,   SLO, 4, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070685
1065284,   210 Meadowlark,   Paso Robles, 4, 3, 2460, 565000, 229.6747967479675,   SLO, 4, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1065284
1071462,   3340 Rockview,   San Luis Obispo, 2, 2, 1436, 415000, 288.99721448467966,   SLO, 1, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071462
1069452,   1486 Gulf,   San Luis Obispo, 4, 2, 1385, 555000, 400.7220216606497,   SLO, 1, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069452
1069702,   76960 Barker,   San Miguel, 3, 3, 2623, 599900, 228.70758673274875,   SLO, 4, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069702
1068352,   13898 Diamond Springs,   Santa Margarita, 3, 2, 1300, 199900, 153.76923076923075,   SLO, 3, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068352
1068358,   13898 Diamond Springs,   Santa Margarita, 3, 2, 1300, 199900, 153.76923076923075,   SLO, 3, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068358
1070698,   553 Majestic,   Santa Maria, 3, 2, 1274, 329900, 258.9481946624804,   SB, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070698
1070292,   3900 Hillview,   Santa Maria, 3, 2, 1124, 369500, 328.73665480427053,   SB, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070292
1071308,   860 Sunshine,   Santa Maria, 3, 2, 1818, 445000, 244.77447744774483,   SB, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071308
1069841,   880 Amethyst,   Santa Maria, 4, 3, 2567, 599900, 233.69692247760037,   SB, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069841
1071607,   1555 Oak Bluffs,   Santa Maria, 4, 3, 3100, 689900, 222.54838709677415,   SB, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071607
1069425,   597 Valley Oak,   Solvang, 3, 3, 2028, 801795, 395.36242603550295,   SB, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069425
1071441,   1257 Hans Park,   Solvang, 4, 4, 2304, 818427, 355.22005208333326,   SB, 0, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071441
1070362,   345 Tiger Tail,   Arroyo Grande, 2, 2, 1312, 379000, 288.8719512195122,   SLO, 2, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070362
1070329,   1182 Pacific Pointe,   Arroyo Grande, 3, 2, 1326, 424900, 320.43740573152337,   SLO, 2, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1070329
1069623,   487 Dixson,   Arroyo Grande, 3, 3, 1891, 599900, 317.239555790587,   SLO, 2, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1069623
1068139,   7345 San Gregorio,   Atascadero, 4, 3, 1816, 515000, 283.59030837004406,   SLO, 3, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1068139
1071021,   11345 Atascadero,   Atascadero, 4, 4, 3847, 699900, 181.9339745256044,   SLO, 3, 1,   10/21/16,   http://www.slocountyhomes.idxbroker.com/idx/details/listing/a063/1071021
